"Season","Squad","arrivals_count","departures_count","transfer_spending_eur","transfer_income_eur","net_spend_eur","spend_usd","income_usd","net_spend_usd"
23,"Wolverhampton Wanderers",31,27,179507000,64870000,114637000,193867560,70059600,123807960
24,"AFC Bournemouth",23,21,129890000,1500000,128390000,140281200,1620000,138661200
24,"Arsenal FC",15,16,235100000,69200000,165900000,253908000,74736000,179172000
24,"Aston Villa",14,14,111500000,33158000,78342000,120420000,35810640,84609360
24,"Brentford FC",19,16,72350000,10250000,62100000,78138000,11070000,67068000
24,"Brighton & Hove Albion",28,22,106850000,1.89e+08,-82150000,115398000,204120000,-88722000
24,"Burnley FC",31,22,111050000,3800000,107250000,119934000,4104000,115830000
24,"Chelsea FC",29,32,448100000,282200000,165900000,483948000,304776000,179172000
24,"Crystal Palace",9,9,67800000,0,67800000,73224000,0,73224000
24,"Everton FC",16,16,40500000,82800000,-42300000,43740000,89424000,-45684000
24,"Fulham FC",15,16,73170000,53200000,19970000,79023600,57456000,21567600
24,"Liverpool FC",12,16,1.72e+08,60700000,111300000,185760000,65556000,120204000
24,"Luton Town",28,26,25900000,3e+05,25600000,27972000,324000,27648000
24,"Manchester City",19,21,259600000,138800000,120800000,280368000,149904000,130464000
24,"Manchester United",14,23,210700000,63770000,146930000,227556000,68871600,158684400
24,"Newcastle United",15,14,1.5e+08,44600000,105400000,1.62e+08,48168000,113832000
24,"Nottingham Forest",35,41,131630000,82820000,48810000,142160400,89445600,52714800
24,"Sheffield United",18,15,66950000,30900000,36050000,72306000,33372000,38934000
24,"Tottenham Hotspur",27,22,272100000,120700000,151400000,293868000,130356000,163512000
24,"West Ham United",10,11,144550000,172860000,-28310000,156114000,186688800,-30574800
24,"Wolverhampton Wanderers",26,31,9.4e+07,169200000,-75200000,101520000,182736000,-81216000
25,"AFC Bournemouth",18,23,137370000,66090000,71280000,148359600,71377200,76982400
25,"Arsenal FC",10,13,107600000,83790000,23810000,116208000,90493200,25714800
25,"Aston Villa",20,25,214200000,257170000,-42970000,231336000,277743600,-46407600
25,"Brentford FC",14,18,98400000,74500000,23900000,106272000,80460000,25812000
25,"Brighton & Hove Albion",23,25,281450000,50740000,230710000,303966000,54799200,249166800
25,"Chelsea FC",32,31,281900000,237100000,44800000,304452000,256068000,48384000
25,"Crystal Palace",16,17,91900000,100700000,-8800000,99252000,108756000,-9504000
25,"Everton FC",11,12,50640000,84150000,-33510000,54691200,90882000,-36190800
25,"Fulham FC",14,13,91550000,68800000,22750000,98874000,74304000,24570000
25,"Ipswich Town",17,19,152590000,2360000,150230000,164797200,2548800,162248400
25,"Leicester City",14,13,91050000,47250000,43800000,98334000,51030000,47304000
25,"Liverpool FC",11,13,4.2e+07,4.7e+07,-5e+06,45360000,50760000,-5400000
25,"Manchester City",15,13,2.43e+08,141700000,101300000,262440000,153036000,109404000
25,"Manchester United",15,17,246300000,117200000,129100000,266004000,126576000,139428000
25,"Newcastle United",9,14,68200000,89550000,-21350000,73656000,96714000,-23058000
25,"Nottingham Forest",26,32,105500000,86700000,18800000,113940000,93636000,20304000
25,"Southampton FC",30,19,123050000,41590000,81460000,132894000,44917200,87976800
25,"Tottenham Hotspur",17,17,185350000,56300000,129050000,200178000,60804000,139374000
25,"West Ham United",17,14,144400000,46150000,98250000,155952000,49842000,106110000
25,"Wolverhampton Wanderers",22,16,119400000,116200000,3200000,128952000,125496000,3456000
